Do Re Mi ...
Eduardo Marques
70
.5 C 0 NATURAL
.5 D 0 NATURAL
.5 E 0 NATURAL
.5 F 0 NATURAL
.5 G 0 NATURAL
.5 A 0 NATURAL
.5 B 0 NATURAL
.5 C 1 NATURAL
.5 D 1 NATURAL
.5 E 1 NATURAL
.5 F 1 NATURAL
.5 G 1 NATURAL
.5 A 1 NATURAL
.5 B 1 NATURAL
.5 C 2 NATURAL
.5 D 2 NATURAL
.5 E 2 NATURAL
.5 F 2 NATURAL
.5 G 2 NATURAL
.5 A 2 NATURAL
.5 B 2 NATURAL
.5 C 3 NATURAL
.5 D 3 NATURAL
.5 E 3 NATURAL
.5 F 3 NATURAL
.5 G 3 NATURAL
.5 A 3 NATURAL
.5 B 3 NATURAL
.5 C 4 NATURAL
.5 D 4 NATURAL
.5 E 4 NATURAL
.5 F 4 NATURAL
.5 G 4 NATURAL
.5 A 4 NATURAL
.5 B 4 NATURAL
.5 C 5 NATURAL
.5 D 5 NATURAL
.5 E 5 NATURAL
.5 F 5 NATURAL
.5 G 5 NATURAL
.5 A 5 NATURAL
.5 B 5 NATURAL
.5 C 6 NATURAL
.5 D 6 NATURAL
.5 E 6 NATURAL
.5 F 6 NATURAL
.5 G 6 NATURAL
.5 A 6 NATURAL
.5 B 6 NATURAL
.5 C 7 NATURAL
.5 D 7 NATURAL
.5 E 7 NATURAL
.5 F 7 NATURAL
.5 G 7 NATURAL
.5 A 7 NATURAL
.5 B 7 NATURAL
.5 C 8 NATURAL
.5 D 8 NATURAL
.5 E 8 NATURAL
.5 F 8 NATURAL
.5 G 8 NATURAL
.5 A 8 NATURAL
.5 B 8 NATURAL
.5 C 9 NATURAL
.5 D 9 NATURAL
.5 E 9 NATURAL
.5 F 9 NATURAL
.5 G 9 NATURAL
.5 A 9 NATURAL
.5 B 9 NATURAL
